amount,companyId,date,donorName,donorType,party,year,donor_has_won_tenders,amountString,dateOriginal
300.0,4209051310005,2022-09-05,"""FERHEM  ""DOO   LUKAVAC",company,K-008 SDP BIH,2022,True,,
1000.0,4209949080006,2018-07-18,"""ASILTING""DOO",company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,True,,
2000.0,4263027570009,2020-11-16,"""BIHAĆKA PIVOVARA"" D. D. BIHAĆ",company,K-008 SDP BIH,2020,True,,
2000.0,4263027570009,2018-10-01,"""BIHAĆKA PIVOVARA"" D. D. BIHAĆ",company,K-882 A-SDA,2018,True,,
6000.0,4404358080004,2022-05-18,"""ELVACO METPRO"" D.O.O. BIJELJINA",company,K-3037 REPUBLIČKA STRANKA SRPSKE,2022,True,,
5000.0,4404358080004,2022-04-13,"""ELVACO METPRO"" D.O.O. BIJELJINA",company,K-3037 REPUBLIČKA STRANKA SRPSKE,2022,True,,
7000.0,4404358080004,2023-04-21,"""ELVACO METPRO"" D.O.O. BIJELJINA",company,K-3037 REPUBLIČKA STRANKA SRPSKE,2023,True,,
600.0,4209281740009,2018-10-03,"""ERAX-INVEST"" D.O.O.",company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,True,,
1000.0,4236066740003,2019-12-31,"""IBRA"" D.O.O.",company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,True,,
500.0,4236066740003,2020-12-31,"""IBRA"" D.O.O.",company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
2000.0,4218043630008,2018-09-14,"""MADI"" D.O.O. TEŠANJ",company,K-004 STRANKA ZA BIH,2018,True,,
250.0,4209929640005,2023-12-31,"""PUC"" D.O.O. TUZLA",company,K-027 HDZ BIH,2023,,,
3000.0,4263655540003,2022-09-05,"""RAD BH"" D.O.O. BIHAĆ",company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2022,True,,
2000.0,4263655540003,2023-01-24,"""RAD BH"" D.O.O. BIHAĆ",company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2023,True,,
1000.0,4263655540003,2022-09-15,"""RAD BH"" D.O.O. BIHAĆ",company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2022,True,,
200.6,4254042970006,2018-12-31,"""VUKIĆ"" D.O.O.",company,K-769 HDZ 1990,2018,True,,
100.0,4218125790003,2018-09-14,"""ZAIMOVIĆ"" DOO",company,K-004 STRANKA ZA BIH,2018,True,,
100.0,4218125790003,2022-09-08,"""ZAIMOVIĆ"" DOO",company,K-008 SDP BIH,2022,True,,
1000.0,4210272940001,2021-04-14,4K&ROYAL DOO LUKAVAC,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2021,True,,
1000.0,4201358160000,2018-12-13,A2B EXPRESS DELIVERY D.O.O.,company,K-877 NAŠA STRANKA,2018,True,,
1000.0,4201133830006,2018-05-22,ABER DESIGN DOO,company,K-2314 NEZAVISNI BLOK,2018,True,,
500.0,4401128120008,2020-12-31,'ACO TRADE'' D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
200.0,4263439090001,2020-10-13,AGENCIJA BAKRAČ SECURITY DOO,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2020,True,,
10000.0,4403649510000,2022-08-31,AIR POINT DOO,company,K-2447 SOCIJALISTIČKA PARTIJA SRPSKE-SPS,2022,True,,
2000.0,4209291460004,2020-12-31,AKVA INVEST DOO ŽIVINICE,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
1000.0,4209291460004,2022-09-30,AKVA INVEST DOO ŽIVINICE,company,K-2320 PLATFORMA ZA PROGRES,2022,True,,
1000.0,4209291460004,2020-11-02,AKVA INVEST DOO ŽIVINICE,company,K-2711 SOCIJALDEMOKRATE BIH,2020,True,,
200.0,4209291460004,2020-10-20,AKVA INVEST DOO ŽIVINICE,company,K-2711 SOCIJALDEMOKRATE BIH,2020,True,,
200.0,4210363400000,2020-10-09,ALPENSTEEL DOO GRADAČAC,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2020,True,,
500.0,4218672090008,2021-03-22,ALU WOOD INŽINJERING D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2021,True,,
500.0,4218672090008,2022-12-31,ALU WOOD INŽINJERING D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,True,,
200.0,4218672090008,2020-09-16,ALU WOOD INŽINJERING D.O.O.,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2020,True,,
2000.0,4209037590003,2020-10-09,AMIF TRADE D.O.O. TUZLA,company,K-2711 SOCIJALDEMOKRATE BIH,2020,,,
1000.0,4227141980008,2022-09-05,AMITEA D.O.O. MOSTAR,company,K-004 STRANKA ZA BIH,2022,True,,
1000.0,4227141980008,2022-06-08,AMITEA D.O.O. MOSTAR,company,K-008 SDP BIH,2022,True,,
200.0,4209815550006,2018-09-27,ANIMAL PROF D.O.O.,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,True,,
500.0,4227935860007,2020-05-17,ARH CONCEPT DOO,company,K-027 HDZ BIH,2020,True,,
2000.0,4218052620007,2020-10-13,AS DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
2000.0,4318270940000,2022-12-31,"AUTO SERVIS ""UZEIRBEGOVIĆ"" ZENICA",company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,True,,
500.0,4218018360004,2018-07-31,AUTOCENTAR ŠKOLJIĆ DOO,company,K-008 SDP BIH,2018,True,,
200.0,4218587490005,2018-10-02,AUTO-SHOPING DOO KAKANJ,company,K-004 STRANKA ZA BIH,2018,True,,
2000.0,4200509260005,2022-08-30,BAHEN GRADNJA D.O.O. SARAJEVO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,True,,
4000.0,4210006470008,2020-10-15,BAUPARTNER D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
300.0,4209188960007,2018-09-25,BEAT BH D.O.O. ŽIVINICE,company,K-1698 DEMOKRATSKA FRONTA,2018,True,,
200.0,4209188960007,2018-09-24,BEAT BH D.O.O. ŽIVINICE,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,True,,
1000.0,4263010170007,2022-06-13,BEHIĆ-SANNY-BOY D.O.O.,company,K-008 SDP BIH,2022,True,,
150.0,4263010170007,2021-04-08,BEHIĆ-SANNY-BOY D.O.O.,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2021,True,,
10000.0,4263010170007,2023-01-13,BEHIĆ-SANNY-BOY D.O.O.,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2023,True,,
10000.0,4263010170007,2022-05-18,BEHIĆ-SANNY-BOY D.O.O.,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2022,True,,
5000.0,4263010170007,2020-10-12,BEHIĆ-SANNY-BOY D.O.O.,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2020,True,,
1000.0,4263010170007,2020-11-13,BEHIĆ-SANNY-BOY D.O.O.,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2020,True,,
500.0,4218143690008,2018-07-13,BELIF DOO,company,K-008 SDP BIH,2018,True,,
300.0,4210014810004,2020-04-20,BH BUŠENJE D.O.O. TUZLA,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
2000.0,4209719590005,2018-07-19,BH SIGURNOST D.O.O. TUZLA,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,True,,
-2000.0,4209719590005,2018-07-19,BH SIGURNOST D.O.O. TUZLA,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,True,,
1000.0,4209659750008,2019-12-26,BIPHARM DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,True,,
2000.0,4236123130004,2020-11-02,BNT HOLDING D.D.,company,K-2317 NAROD I PRAVDA,2020,True,,
700.0,4202083250000,2019-10-01,BNT-TECH D.O.O. SARAJEVO,company,K-2328 NEZAVISNA BOSANSKOHERCEGOVAČKA LISTA,2019,True,,
150.0,4218421410003,2020-09-11,BONTEX DOO,company,K-008 SDP BIH,2020,True,,
2000.0,4200336220002,2018-10-05,BOSNAINSPEKT D.O.O.,company,K-877 NAŠA STRANKA,2018,True,,
2000.0,4209221500009,2020-12-31,BOSNA-NILESS D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
2000.0,4209221500009,2020-11-04,BOSNA-NILESS D.O.O.,company,K-2711 SOCIJALDEMOKRATE BIH,2020,True,,
3000.0,4236636510007,2020-10-07,BOSSIL DOO,company,K-027 HDZ BIH,2020,True,,
1000.0,4209132820008,2018-07-15,BRIJEST DOO,company,K-1182 SBB BIH,2018,True,,
1000.0,4218314170008,2023-12-14,BUDO-EXPORT DOO,company,K-027 HDZ BIH,2023,True,,
10000.0,4236054650009,2018-04-19,BULJAN CESTE,company,K-2314 NEZAVISNI BLOK,2018,True,,
1000.0,4402263540005,2022-06-06,CIMSS D.O.O. PRIJEDOR,company,K-008 SDP BIH,2022,,,
1000.0,4201136260006,2018-08-14,COMPLEX DOO,company,K-2317 NAROD I PRAVDA,2018,True,,
400.0,4600063930000,2020-10-02,CONRAM DOO,company,K-1182 SBB BIH,2020,True,,
500.0,4600063930000,2022-09-22,CONRAM DOO,company,K-2317 NAROD I PRAVDA,2022,True,,
2000.0,4400430120002,2020-09-25,COPITRADE D.O.O.,company,K-1182 SBB BIH,2020,True,,
200.0,4236594250000,2020-10-21,ČARDACI D.O.O.,company,K-008 SDP BIH,2020,True,,
400.0,4400808480002,2018-09-28,D.O.O. GRAFO-KOMERC,company,K-074 SOCIJALISTIČKA PARTIJA,2018,True,,
1000.0,4200977520006,2022-06-09,DEBELJAK INDUSTRIJA VIJAKA - DIV D.O.O.SARAJEVO,company,K-008 SDP BIH,2022,True,,
3000.0,4210090320008,2021-09-30,DELING INVEST D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2021,,,
