name,race,level,political_party,company_ownership_info,companyId,state,value,company_has_won_tenders_2022_2024,company_is_political_donor,company_is_political_donor_2022_2024,official_is_political_donor,official_is_political_donor_2022_2024
HASIĆ ASMIR,SKUPŠTINE KANTONA U FEDERACIJI BIH,KANTON 3,STRANKA ZA BOSNU I HERCEGOVINU-SBIH,"D.O.O.""FAP-PROM"" PRILUK, 75270 ŽIVINICE",4209933670008.0,BIH,"500.000,00",,,,,
IVIĆ IVAN,SKUPŠTINE KANTONA U FEDERACIJI BIH,KANTON 10	,HNP-HRVATSKI NACIONALNI POMAK,Coowner of a company,,BIH,"750.000,00",,,,,
BAJRAMOVIĆ HALIL,ZASTUPNICKI/PREDSTAVNICKI DOM PARLAMENTA FEDERACIJE BIH,FEDERACIJA BIH,"POVJERENJE! (NAROD I PRAVDA, SPU BIH)",Finesto Naložbe Ljubljana,,Slovenija,"9.808.336,00",,,,,
DURIĆ IRFAN,ZASTUPNICKI/PREDSTAVNICKI DOM PARLAMENTA FEDERACIJE BIH,FEDERACIJA BIH,NES-ZA EVROPSKU BIH,Coowner of a company,,BiH,"200.000,00",,,,True,True
KOVAČEVIĆ SAFET,ZASTUPNICKI/PREDSTAVNICKI DOM PARLAMENTA FEDERACIJE BIH,FEDERACIJA BIH,SDA - STRANKA DEMOKRATSKE AKCIJE,Owner of a company,,BIH,"14.066.000,00",,,,,
SALKIĆ SANDI,ZASTUPNICKI/PREDSTAVNICKI DOM PARLAMENTA FEDERACIJE BIH,FEDERACIJA BIH,NES-ZA EVROPSKU BIH,Coowner of Agrorevolucija d.o.o. Cazin,,Bosna i Hercegovina,"27.000,00",,,,True,True
CVITANOVIĆ MARKO,ZASTUPNICKI/PREDSTAVNICKI DOM PARLAMENTA FEDERACIJE BIH,FEDERACIJA BIH,NAŠA STRANKA,BOJE.BA D.O.O.,4200418620009.0,BiH,"135.000,00",True,,,True,True
NOVALIĆ FADIL,ZASTUPNICKI/PREDSTAVNICKI DOM PARLAMENTA FEDERACIJE BIH,FEDERACIJA BIH,SDA - STRANKA DEMOKRATSKE AKCIJE,Coowner of a company,,BiH,,,,,True,True
VINCETIĆ IVO,ZASTUPNICKI/PREDSTAVNICKI DOM PARLAMENTA FEDERACIJE BIH,FEDERACIJA BIH,"HDZ BIH,HSSSR,HSS,HSP BIH,HKDU,HSPAS,HDU,HSPHB,HRAST,HNL",Coowner of two companies,,BIH,"1.200.000,00",,,,,
KOŽUL PREDRAG,ZASTUPNICKI/PREDSTAVNICKI DOM PARLAMENTARNE SKUPŠTINE BIH,BOSNA I HERCEGOVINA,"HDZ BIH,HSS,HSP BIH,HKDU,HSPAS,HDU,HSPHB,HRAST",POTOCI BENZ ,,BIH,"180.000,00",,,,True,True
DRINIĆ NEBOJŠA,NARODNA SKUPŠTINA RS,REPUBLIKA SRPSKA,PDP - PARTIJA DEMOKRATSKOG PROGRESA,UPRAVA d.o.o.,4404243180005.0,BIH(RS),"100.000,00",True,,,True,True
RADOVIĆ MILAN,NARODNA SKUPŠTINA RS,REPUBLIKA SRPSKA,SDS-SRPSKA DEMOKRATSKA STRANKA,STARA ADA DOO; ,4403208570007.0,Bosna i Hercegovina,"1.800.000,00",True,,,True,True
RADOVIĆ MILAN,NARODNA SKUPŠTINA RS,REPUBLIKA SRPSKA,SDS-SRPSKA DEMOKRATSKA STRANKA,TRUST-INVEST d.o.o. Sarajevo,4202244870003.0,,,,,,True,True
ĐURIĆ PERO,NARODNA SKUPŠTINA RS,REPUBLIKA SRPSKA,SDS-SRPSKA DEMOKRATSKA STRANKA,DRVO PROMET-ĐURIĆ DOO KNEŽEVO,4401108520000.0,BIH,"15.257.635,00",True,,,,
