name,race,level,political_party,company_ownership_info,companyId,state,value,company_has_won_tenders_2024,company_is_political_donor,company_is_political_donor_2024,official_is_political_donor,official_is_political_donor_2024
ADŽIĆ SINIŠA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRADIŠKA,UJEDINJENA SRPSKA,GRAD TRADING,4404452420005.0,BiH,30000.0,True,,,,
AHMETSPAHIĆ VEHIDA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ZENICA,BOSANSKOHERCEGOVAČKA INICIJATIVA - KASUMOVIĆ FUAD,TRGOVACKA RADNJA ,,BiH,100000.0,,,,,
ALEKSIĆ MILAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,PRNJAVOR,SRPSKA DEMOKRATSKA STRANKA - VOLJA NARODA,"OM-PROSTEEL DOO, 50 % VLASNIŠTVO",4404785580000.0,"Republika Srpska, Bosna i Hercegovina",500000.0,,,,,
ALIĆ MENSUR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TUZLA,TUZLANSKA ALTERNATIVA,MENPROM DOO,4209142620007.0,Bosna i Hercegovina,30000000.0,True,,,,
ALIĆ MUHAMED,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KALESIJA,NES BIH-NARODNI EVROPSKI SAVEZ BIH,"POSLOVNA IZVRSNOST DOO TUZLA, 49 %",4210529730003.0,BIH,980.0,True,,,,
ANTIĆ ŽELJKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BRCKO DISTRIKT BIH,SNSD-SPS,"ZEMLJIŠTE U TOKU GRADNJA OBJEKATA , DVA OBJEKTA",,Srbija,1365000.0,,,,,
ATIĆ KEMAL,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BRCKO DISTRIKT BIH,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,VLASNIŠTVO D.O.O.,,BiH,5000.0,,,,,
AVDIĆ MURAT,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,MILIĆI,SDA - STRANKA DEMOKRATSKE AKCIJE,FARMA ,,BIH,350000.0,,,,,
BADNJAR EDIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ŽEPČE,SDA - STRANKA DEMOKRATSKE AKCIJE,PRIVATNA,,BiH,500000.0,,,,,
BANJANIN DRAGAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KALINOVIK,PDP - PARTIJA DEMOKRATSKOG PROGRESA,"""PAULOVNIJA""",4404284370005.0,BiH,1000000.0,True,,,,
